

Servicio Meteorológico Nacional
Red: SMN
Estación: ESCNALCIENCIASBIOLOGICAS
Estado: Ciudad de México
Municipio: Miguel Hidalgo
Latitud (N): 19.45361111
Longitud (O): -99.17111111
Altitud: 2262

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2020-08-05 12:50:00,2020-08-05 17:50:00,319.0,1.0,7,12,22,60,781.6,0,888,
2020-08-05 12:40:00,2020-08-05 17:40:00,346.0,46.0,8.9,17.2,22.5,59,781.7,0,760,
2020-08-05 12:30:00,2020-08-05 17:30:00,39.0,33.0,7.5,16,22.3,61,781.8,0,859,
2020-08-05 12:20:00,2020-08-05 17:20:00,265.0,253.0,7.8,11.4,22.2,62,781.8,0,1000,
2020-08-05 12:10:00,2020-08-05 17:10:00,281.0,262.0,5.7,12,21.9,63,781.9,0,744,
2020-08-05 12:00:00,2020-08-05 17:00:00,179.0,170.0,5.7,10.2,21.2,66,782,0,933,
2020-08-05 11:50:00,2020-08-05 16:50:00,220.0,275.0,4.6,7.4,20.8,69,782.1,0,604,
2020-08-05 11:40:00,2020-08-05 16:40:00,238.0,267.0,5.4,10.2,20.8,71,782.2,0,442,
2020-08-05 11:30:00,2020-08-05 16:30:00,285.0,249.0,6.1,10.8,20.7,76,782.2,0,618,
2020-08-05 11:20:00,2020-08-05 16:20:00,248.0,224.0,5.9,7.9,19.8,84,782.2,0,825,
2020-08-05 11:10:00,2020-08-05 16:10:00,195.0,208.0,5,9.7,19.4,88,782.3,0,475,
2020-08-05 11:00:00,2020-08-05 16:00:00,219.0,185.0,4.4,8.5,19.5,89,782.3,0,361,
2020-08-05 10:50:00,2020-08-05 15:50:00,259.0,252.0,4,7.9,19.2,92,782.4,0,264,
2020-08-05 10:40:00,2020-08-05 15:40:00,257.0,271.0,6,7.9,19.1,92,782.4,0,287,
2020-08-05 10:30:00,2020-08-05 15:30:00,214.0,214.0,3.2,5.1,18.9,91,782.4,0,258,
2020-08-05 10:20:00,2020-08-05 15:20:00,234.0,263.0,3.3,5.6,19,90,782.4,0,200,
2020-08-05 10:10:00,2020-08-05 15:10:00,253.0,243.0,2.3,4.5,19,91,782.3,0,196,
2020-08-05 10:00:00,2020-08-05 15:00:00,292.0,240.0,1.8,3.9,18.7,93,782.4,0,183,
2020-08-05 09:50:00,2020-08-05 14:50:00,94.0,148.0,2,3.9,18.5,94,782.3,0,212,
2020-08-05 09:40:00,2020-08-05 14:40:00,280.0,243.0,3.1,5.6,18.2,96,782.3,0,211,
2020-08-05 09:30:00,2020-08-05 14:30:00,288.0,318.0,4.3,8.5,17.7,99,782.2,0,202,
2020-08-05 09:20:00,2020-08-05 14:20:00,298.0,309.0,5.7,10.8,17.3,100,782.2,0,189,
2020-08-05 09:10:00,2020-08-05 14:10:00,324.0,333.0,6.3,13.1,17.1,100,782.2,0,158,
2020-08-05 09:00:00,2020-08-05 14:00:00,320.0,303.0,6.4,12,16.9,100,782.2,0,125,
2020-08-05 08:50:00,2020-08-05 13:50:00,303.0,280.0,6.6,9.7,16.8,100,782.1,0,121,
2020-08-05 08:40:00,2020-08-05 13:40:00,273.0,301.0,5.2,10.2,16.7,100,782.1,0,91,
2020-08-05 08:30:00,2020-08-05 13:30:00,274.0,290.0,6.1,10.2,16.5,100,782,0,76,
2020-08-05 08:20:00,2020-08-05 13:20:00,298.0,318.0,6.5,10.8,16.4,100,781.9,0,60,
2020-08-05 08:10:00,2020-08-05 13:10:00,289.0,302.0,6,12,16.2,100,781.8,0,67,
2020-08-05 08:00:00,2020-08-05 13:00:00,322.0,317.0,5.4,10.8,15.9,100,781.7,0,47,
2020-08-05 07:50:00,2020-08-05 12:50:00,302.0,316.0,6.5,10.2,15.8,100,781.6,0,33,
2020-08-05 07:40:00,2020-08-05 12:40:00,301.0,299.0,5.9,12.5,15.8,100,781.5,0,22,
2020-08-05 07:30:00,2020-08-05 12:30:00,310.0,322.0,7.3,14.9,15.8,100,781.4,0,11,
2020-08-05 07:20:00,2020-08-05 12:20:00,309.0,338.0,8.8,15.4,15.8,100,781.4,0,2,
2020-08-05 07:10:00,2020-08-05 12:10:00,319.0,314.0,9.2,16,15.8,100,781.2,0,0,
2020-08-05 07:00:00,2020-08-05 12:00:00,324.0,310.0,7.5,12.5,15.8,100,781.1,0,0,
2020-08-05 06:50:00,2020-08-05 11:50:00,312.0,320.0,7.3,16,15.7,100,781,0,0,
2020-08-05 06:40:00,2020-08-05 11:40:00,315.0,321.0,8.8,13.1,15.8,100,780.9,0,0,
2020-08-05 06:30:00,2020-08-05 11:30:00,306.0,299.0,9.4,17.7,15.8,100,780.9,0,0,
2020-08-05 06:20:00,2020-08-05 11:20:00,292.0,298.0,8.8,14.9,15.9,100,780.8,0,0,
2020-08-05 06:10:00,2020-08-05 11:10:00,305.0,298.0,9.6,16,16,100,780.8,0,0,
2020-08-05 06:00:00,2020-08-05 11:00:00,312.0,318.0,8.4,13.1,16.2,100,780.8,0,0,
2020-08-05 05:50:00,2020-08-05 10:50:00,316.0,338.0,5.2,9.7,16.3,100,780.9,0,0,
2020-08-05 05:40:00,2020-08-05 10:40:00,315.0,332.0,8.4,12.5,16.3,100,781,0,0,
2020-08-05 05:30:00,2020-08-05 10:30:00,308.0,314.0,8.2,13.7,16.4,100,781,0,0,
2020-08-05 05:20:00,2020-08-05 10:20:00,311.0,300.0,10.3,18.3,16.4,100,781.1,0,0,
2020-08-05 05:10:00,2020-08-05 10:10:00,306.0,308.0,11.1,19.5,16.4,100,781.2,0,0,
2020-08-05 05:00:00,2020-08-05 10:00:00,292.0,302.0,9.4,18.3,16.4,100,781.2,0,0,
2020-08-05 04:50:00,2020-08-05 09:50:00,320.0,321.0,10.5,17.7,16.4,100,781.2,0,0,
2020-08-05 04:40:00,2020-08-05 09:40:00,308.0,303.0,12.4,20,16.4,100,781.2,0,0,
2020-08-05 04:30:00,2020-08-05 09:30:00,299.0,309.0,8.8,17.2,16.4,100,781.3,0,0,
2020-08-05 04:20:00,2020-08-05 09:20:00,301.0,300.0,8.9,14.9,16.3,100,781.3,0,0,
2020-08-05 04:10:00,2020-08-05 09:10:00,304.0,297.0,9.5,16,16.3,100,781.4,0,0,
2020-08-05 04:00:00,2020-08-05 09:00:00,299.0,301.0,9.7,16.6,16.2,100,781.5,0,0,
2020-08-05 03:50:00,2020-08-05 08:50:00,298.0,300.0,10.4,16.6,16.2,100,781.6,0,0,
2020-08-05 03:40:00,2020-08-05 08:40:00,299.0,294.0,11.4,17.7,16.2,100,781.7,0,0,
2020-08-05 03:30:00,2020-08-05 08:30:00,308.0,284.0,8.8,16.6,16.3,100,781.8,0,0,
2020-08-05 03:20:00,2020-08-05 08:20:00,311.0,280.0,7.3,13.1,16.5,100,781.8,0,0,
2020-08-05 03:10:00,2020-08-05 08:10:00,322.0,323.0,9.8,16.6,16.6,100,781.8,0,0,
2020-08-05 03:00:00,2020-08-05 08:00:00,302.0,302.0,11.9,18.3,16.7,100,781.8,0,0,
2020-08-05 02:50:00,2020-08-05 07:50:00,304.0,296.0,8.5,19.5,16.7,100,782,0,0,
2020-08-05 02:40:00,2020-08-05 07:40:00,305.0,299.0,8.6,16,16.6,100,782.1,0,0,
2020-08-05 02:30:00,2020-08-05 07:30:00,301.0,296.0,7.6,12.5,16.6,100,782.1,0,0,
2020-08-05 02:20:00,2020-08-05 07:20:00,302.0,292.0,9,15.4,16.7,100,782.1,0,0,
2020-08-05 02:10:00,2020-08-05 07:10:00,298.0,296.0,10.4,19.5,16.7,100,782.2,0,0,
2020-08-05 02:00:00,2020-08-05 07:00:00,313.0,318.0,9.1,14.3,16.9,100,782.3,0,0,
2020-08-05 01:50:00,2020-08-05 06:50:00,306.0,312.0,9.3,18.3,17,100,782.4,0,0,
2020-08-05 01:40:00,2020-08-05 06:40:00,305.0,295.0,12.4,19.5,17.1,100,782.4,0,0,
2020-08-05 01:30:00,2020-08-05 06:30:00,319.0,306.0,9.8,16.6,17.3,100,782.5,0,0,
2020-08-05 01:20:00,2020-08-05 06:20:00,319.0,326.0,9.5,16.6,17.4,100,782.7,0,0,
2020-08-05 01:10:00,2020-08-05 06:10:00,310.0,303.0,9.5,19.5,17.5,100,782.8,0,0,
2020-08-05 01:00:00,2020-08-05 06:00:00,306.0,292.0,9.5,15.4,17.6,100,782.8,0,0,
2020-08-05 00:50:00,2020-08-05 05:50:00,299.0,12.0,9.2,16,17.7,100,782.8,0,0,
2020-08-05 00:40:00,2020-08-05 05:40:00,293.0,308.0,9.1,14.9,17.7,100,782.8,0,0,
2020-08-05 00:30:00,2020-08-05 05:30:00,301.0,304.0,8.7,13.7,17.7,100,782.7,0,0,
2020-08-05 00:20:00,2020-08-05 05:20:00,316.0,309.0,8.9,14.3,17.8,100,782.8,0,0,
2020-08-05 00:10:00,2020-08-05 05:10:00,313.0,311.0,8.1,15.4,17.8,100,782.8,0,0,
2020-08-05 00:00:00,2020-08-05 05:00:00,289.0,296.0,7.9,14.3,17.9,100,782.8,0,0,
2020-08-04 23:50:00,2020-08-05 04:50:00,294.0,311.0,9.9,16.6,18,100,782.8,0,0,
2020-08-04 23:40:00,2020-08-05 04:40:00,297.0,297.0,8.8,16.6,18.1,100,782.8,0,0,
2020-08-04 23:30:00,2020-08-05 04:30:00,309.0,296.0,9.7,15.4,18.2,100,782.8,0,0,
2020-08-04 23:20:00,2020-08-05 04:20:00,307.0,302.0,9.6,19.5,18.3,100,782.7,0,0,
2020-08-04 23:10:00,2020-08-05 04:10:00,300.0,307.0,8.5,16,18.3,100,782.7,0,0,
2020-08-04 23:00:00,2020-08-05 04:00:00,255.0,234.0,5.6,9.7,18.2,100,782.6,0,0,
2020-08-04 22:50:00,2020-08-05 03:50:00,251.0,265.0,7.5,13.1,18.2,100,782.5,0,0,
2020-08-04 22:40:00,2020-08-05 03:40:00,251.0,266.0,7.2,12.5,18.2,100,782.3,0,0,
2020-08-04 22:30:00,2020-08-05 03:30:00,257.0,270.0,6.6,11.4,18.1,100,782.3,0,0,
2020-08-04 22:20:00,2020-08-05 03:20:00,256.0,260.0,6.5,10.8,18.1,100,782.3,0,0,
2020-08-04 22:10:00,2020-08-05 03:10:00,254.0,250.0,10.3,16.6,18.1,100,782.2,0,0,
2020-08-04 22:00:00,2020-08-05 03:00:00,252.0,254.0,10.2,14.9,18.2,100,782.2,0,0,
2020-08-04 21:50:00,2020-08-05 02:50:00,245.0,250.0,10.1,13.7,18.4,100,782.1,0,0,
2020-08-04 21:40:00,2020-08-05 02:40:00,226.0,227.0,4.5,8.5,18.4,100,782.1,0,0,
2020-08-04 21:30:00,2020-08-05 02:30:00,193.0,190.0,4.1,5.1,18.2,100,782.2,0,0,
2020-08-04 21:20:00,2020-08-05 02:20:00,210.0,200.0,4.2,7.4,18.1,100,782.1,0,0,
2020-08-04 21:10:00,2020-08-05 02:10:00,233.0,236.0,5.6,7.9,18.1,100,782,0,0,
2020-08-04 21:00:00,2020-08-05 02:00:00,184.0,187.0,4.2,9.7,18.2,100,781.8,0,0,
2020-08-04 20:50:00,2020-08-05 01:50:00,140.0,126.0,6.1,9.7,18.1,100,781.7,0,0,
2020-08-04 20:40:00,2020-08-05 01:40:00,179.0,162.0,4.7,7.4,18,100,781.5,0,0,
2020-08-04 20:30:00,2020-08-05 01:30:00,168.0,176.0,5.5,9.1,18,100,781.3,0,0,
2020-08-04 20:20:00,2020-08-05 01:20:00,163.0,123.0,6.8,12,17.9,100,781.2,0,0,
2020-08-04 20:10:00,2020-08-05 01:10:00,157.0,156.0,5.3,12,17.7,100,781.1,0,0,
2020-08-04 20:00:00,2020-08-05 01:00:00,177.0,189.0,10,17.7,18,100,781.1,0,0,
2020-08-04 19:50:00,2020-08-05 00:50:00,166.0,173.0,10.1,20,18.8,100,781,0.25,0,
2020-08-04 19:40:00,2020-08-05 00:40:00,154.0,157.0,11.4,15.4,19.5,96,780.8,0,1,
2020-08-04 19:30:00,2020-08-05 00:30:00,91.0,165.0,6.2,11.4,20.1,79,780.5,0,19,
2020-08-04 19:20:00,2020-08-05 00:20:00,328.0,331.0,8.6,19.5,20.8,72,780.5,0,55,
2020-08-04 19:10:00,2020-08-05 00:10:00,335.0,323.0,11.6,18.3,21.4,66,780.1,0,109,
2020-08-04 19:00:00,2020-08-05 00:00:00,340.0,334.0,13.5,20,21.6,65,779.7,0,119,
2020-08-04 18:50:00,2020-08-04 23:50:00,354.0,328.0,14.7,25.8,21.5,67,779.6,0,88,
2020-08-04 18:40:00,2020-08-04 23:40:00,343.0,339.0,17.3,29.8,21.6,67,779.6,0,131,
2020-08-04 18:30:00,2020-08-04 23:30:00,343.0,357.0,23.1,41.9,22.6,65,779.4,0,83,
2020-08-04 18:20:00,2020-08-04 23:20:00,319.0,340.0,18.4,33.9,23.4,62,779.3,0,67,
2020-08-04 18:10:00,2020-08-04 23:10:00,323.0,324.0,14.3,27.5,23.6,62,779.2,0,171,
2020-08-04 18:00:00,2020-08-04 23:00:00,311.0,306.0,14.1,24.6,23.6,59,779.3,0,234,
2020-08-04 17:50:00,2020-08-04 22:50:00,312.0,311.0,14.7,23.5,23.7,58,779.3,0,202,
2020-08-04 17:40:00,2020-08-04 22:40:00,313.0,279.0,11.4,22.9,23.6,58,779.4,0,181,
2020-08-04 17:30:00,2020-08-04 22:30:00,328.0,340.0,13.2,22.9,23.6,58,779.6,0,143,
2020-08-04 17:20:00,2020-08-04 22:20:00,332.0,333.0,14.1,20.6,24.3,56,779.6,0,139,
2020-08-04 17:10:00,2020-08-04 22:10:00,303.0,325.0,7.9,24.1,24.9,56,779.6,0,336,
2020-08-04 17:00:00,2020-08-04 22:00:00,287.0,301.0,10.2,19.5,24.1,58,779.7,0,677,
2020-08-04 16:50:00,2020-08-04 21:50:00,327.0,339.0,10.6,16,23.4,60,779.9,0,335,
2020-08-04 16:40:00,2020-08-04 21:40:00,15.0,3.0,8.7,15.4,23.5,61,780,0,194,
2020-08-04 16:30:00,2020-08-04 21:30:00,343.0,38.0,8.9,16.6,23.5,59,780.1,0,201,
2020-08-04 16:20:00,2020-08-04 21:20:00,318.0,295.0,9,17.2,23.7,60,780.1,0,219,
2020-08-04 16:10:00,2020-08-04 21:10:00,323.0,293.0,5.5,12,23.6,59,780.3,0,260,
2020-08-04 16:00:00,2020-08-04 21:00:00,337.0,0.0,10.9,17.7,23.6,59,780.4,0,248,
2020-08-04 15:50:00,2020-08-04 20:50:00,338.0,358.0,8.3,17.7,23.9,58,780.6,0,610,
2020-08-04 15:40:00,2020-08-04 20:40:00,291.0,319.0,9.1,16.6,23.2,60,780.8,0,396,
2020-08-04 15:30:00,2020-08-04 20:30:00,349.0,336.0,9.7,16,23.6,60,781,0,281,
2020-08-04 15:20:00,2020-08-04 20:20:00,358.0,8.0,4.8,16,23.9,58,781.2,0,616,
2020-08-04 15:10:00,2020-08-04 20:10:00,358.0,354.0,9.3,14.3,23.4,61,781.4,0,737,
2020-08-04 15:00:00,2020-08-04 20:00:00,353.0,348.0,10,20.6,24.1,59,781.5,0,543,
2020-08-04 14:50:00,2020-08-04 19:50:00,310.0,17.0,7.6,16.6,23.7,60,781.6,0,919,
2020-08-04 14:40:00,2020-08-04 19:40:00,359.0,314.0,7.9,16,23.4,62,781.8,0,473,
2020-08-04 14:30:00,2020-08-04 19:30:00,310.0,331.0,10,21.8,23.5,60,782,0,1037,
2020-08-04 14:20:00,2020-08-04 19:20:00,350.0,18.0,9.1,17.2,23.3,62,782.1,0,1020,
2020-08-04 14:10:00,2020-08-04 19:10:00,331.0,321.0,8,14.9,23.2,62,782.2,0,1111,
2020-08-04 14:00:00,2020-08-04 19:00:00,265.0,343.0,9,15.4,23,63,782.4,0,1011,
2020-08-04 13:50:00,2020-08-04 18:50:00,278.0,262.0,8,16,23,63,782.5,0,435,
2020-08-04 13:40:00,2020-08-04 18:40:00,297.0,307.0,8.5,17.2,23.1,62,782.6,0,1171,
2020-08-04 13:30:00,2020-08-04 18:30:00,308.0,307.0,7.1,16.6,22.4,66,782.7,0,751,
2020-08-04 13:20:00,2020-08-04 18:20:00,308.0,336.0,7.4,15.4,22.5,66,782.7,0,612,
2020-08-04 13:10:00,2020-08-04 18:10:00,258.0,247.0,6.2,11.4,22.3,65,782.8,0,659,
2020-08-04 13:00:00,2020-08-04 18:00:00,296.0,296.0,7.8,15.4,22.3,67,782.9,0,603,
2020-08-04 12:50:00,2020-08-04 17:50:00,257.0,265.0,8.2,12.5,22.2,68,783,0,832,
2020-08-04 12:40:00,2020-08-04 17:40:00,318.0,309.0,8.2,17.2,21.7,70,783.1,0,1012,
2020-08-04 12:30:00,2020-08-04 17:30:00,278.0,244.0,8.7,14.9,21.2,73,783.2,0,823,
2020-08-04 12:20:00,2020-08-04 17:20:00,274.0,301.0,7.3,12.5,21,73,783.3,0,740,
2020-08-04 12:10:00,2020-08-04 17:10:00,281.0,243.0,8.5,14.9,20.6,76,783.4,0,770,
2020-08-04 12:00:00,2020-08-04 17:00:00,299.0,330.0,8.5,14.9,20.2,82,783.5,0,641,
2020-08-04 11:50:00,2020-08-04 16:50:00,268.0,243.0,7.6,15.4,20,86,783.6,0,674,
2020-08-04 11:40:00,2020-08-04 16:40:00,270.0,287.0,8,13.7,19.6,89,783.7,0,349,
2020-08-04 11:30:00,2020-08-04 16:30:00,265.0,312.0,8.5,17.7,19.3,91,783.7,0,462,
2020-08-04 11:20:00,2020-08-04 16:20:00,254.0,251.0,9.4,20,19.1,93,783.6,0,371,
2020-08-04 11:10:00,2020-08-04 16:10:00,254.0,230.0,9.1,14.9,19.4,92,783.6,0,308,
2020-08-04 11:00:00,2020-08-04 16:00:00,263.0,259.0,10.5,16,19.7,91,783.6,0,590,
2020-08-04 10:50:00,2020-08-04 15:50:00,268.0,313.0,10.6,18.9,19.4,94,783.5,0,752,
2020-08-04 10:40:00,2020-08-04 15:40:00,321.0,311.0,8.7,17.7,18.9,98,783.4,0,858,
2020-08-04 10:30:00,2020-08-04 15:30:00,323.0,325.0,10.1,17.7,18.4,100,783.4,0,445,
2020-08-04 10:20:00,2020-08-04 15:20:00,330.0,327.0,9.2,16,18.1,100,783.4,0,443,
2020-08-04 10:10:00,2020-08-04 15:10:00,326.0,323.0,12.8,18.9,18.1,100,783.3,0,503,
2020-08-04 10:00:00,2020-08-04 15:00:00,303.0,322.0,9.8,16.6,18.1,100,783.3,0,553,
2020-08-04 09:50:00,2020-08-04 14:50:00,332.0,311.0,9,15.4,17.8,100,783.2,0,466,
2020-08-04 09:40:00,2020-08-04 14:40:00,317.0,342.0,8.8,16.6,16.9,100,783.2,0,446,
2020-08-04 09:30:00,2020-08-04 14:30:00,320.0,323.0,9,17.7,16.5,100,783.2,0,221,
2020-08-04 09:20:00,2020-08-04 14:20:00,300.0,296.0,8.3,15.4,16.3,100,783.1,0,128,
2020-08-04 09:10:00,2020-08-04 14:10:00,293.0,308.0,8.6,13.1,16.2,100,783.1,0,100,
2020-08-04 09:00:00,2020-08-04 14:00:00,288.0,306.0,6.2,13.1,16,100,783.1,0,95,
2020-08-04 08:50:00,2020-08-04 13:50:00,272.0,283.0,7.8,14.3,15.9,100,783,0,74,
2020-08-04 08:40:00,2020-08-04 13:40:00,273.0,286.0,7.7,13.1,15.7,100,782.9,0,69,
2020-08-04 08:30:00,2020-08-04 13:30:00,277.0,279.0,8,15.4,15.5,100,782.8,0,53,
2020-08-04 08:20:00,2020-08-04 13:20:00,273.0,270.0,7.8,13.1,15.5,100,782.8,0,27,
2020-08-04 08:10:00,2020-08-04 13:10:00,261.0,261.0,8.2,13.1,15.4,100,782.7,0,22,
2020-08-04 08:00:00,2020-08-04 13:00:00,257.0,252.0,7.5,12,15.4,100,782.5,0,16,
2020-08-04 07:50:00,2020-08-04 12:50:00,246.0,242.0,7.1,9.7,15.4,100,782.5,0,11,
2020-08-04 07:40:00,2020-08-04 12:40:00,242.0,235.0,7.5,10.2,15.5,100,782.5,0,7,
2020-08-04 07:30:00,2020-08-04 12:30:00,239.0,231.0,6.9,9.1,15.4,100,782.5,0,3,
2020-08-04 07:20:00,2020-08-04 12:20:00,246.0,243.0,6.5,7.9,15.3,98,782.4,0,0,
2020-08-04 07:10:00,2020-08-04 12:10:00,252.0,266.0,5.4,7.4,15.1,97,782.2,0,0,
2020-08-04 07:00:00,2020-08-04 12:00:00,278.0,262.0,4.5,6.2,15.1,99,782.1,0,0,
2020-08-04 06:50:00,2020-08-04 11:50:00,221.0,241.0,2.5,5.1,15.2,98,782.1,0,0,
